,home_team,home_goals,away_team,away_goals,date2,team,week,points
0,Everton,1,Arsenal,6,2009-08-15,Arsenal,1,3
1,Arsenal,4,Portsmouth,1,2009-08-22,Arsenal,2,6
2,Man Utd,2,Arsenal,1,2009-08-29,Arsenal,3,6
3,Man City,4,Arsenal,2,2009-09-12,Arsenal,4,6
4,Arsenal,4,Wigan,0,2009-09-19,Arsenal,5,9
5,Fulham,0,Arsenal,1,2009-09-26,Arsenal,6,12
6,Arsenal,6,Blackburn,2,2009-10-04,Arsenal,7,15
7,Arsenal,3,Birmingham,1,2009-10-17,Arsenal,8,18
8,West Ham,2,Arsenal,2,2009-10-25,Arsenal,9,19
9,Arsenal,3,Spurs,0,2009-10-31,Arsenal,10,22
10,Wolves,1,Arsenal,4,2009-11-07,Arsenal,11,25
11,Sunderland,1,Arsenal,0,2009-11-21,Arsenal,12,25
12,Arsenal,0,Chelsea,3,2009-11-29,Arsenal,13,25
13,Arsenal,2,Stoke,0,2009-12-05,Arsenal,14,28
14,Liverpool,1,Arsenal,2,2009-12-13,Arsenal,15,31
15,Burnley,1,Arsenal,1,2009-12-16,Arsenal,16,32
16,Arsenal,3,Hull,0,2009-12-19,Arsenal,17,35
17,Arsenal,3,Aston Villa,0,2009-12-27,Arsenal,18,38
18,Portsmouth,1,Arsenal,4,2009-12-30,Arsenal,19,41
19,Arsenal,2,Everton,2,2010-01-09,Arsenal,20,42
20,Bolton,0,Arsenal,2,2010-01-17,Arsenal,21,45
21,Arsenal,4,Bolton,2,2010-01-20,Arsenal,22,48
22,Aston Villa,0,Arsenal,0,2010-01-27,Arsenal,23,49
23,Arsenal,1,Man Utd,3,2010-01-31,Arsenal,24,49
24,Chelsea,2,Arsenal,0,2010-02-07,Arsenal,25,49
25,Arsenal,1,Liverpool,0,2010-02-10,Arsenal,26,52
26,Arsenal,2,Sunderland,0,2010-02-20,Arsenal,27,55
27,Stoke,1,Arsenal,3,2010-02-27,Arsenal,28,58
28,Arsenal,3,Burnley,1,2010-03-06,Arsenal,29,61
29,Hull,1,Arsenal,2,2010-03-13,Arsenal,30,64
30,Arsenal,2,West Ham,0,2010-03-20,Arsenal,31,67
31,Birmingham,1,Arsenal,1,2010-03-27,Arsenal,32,68
32,Arsenal,1,Wolves,0,2010-04-03,Arsenal,33,71
33,Spurs,2,Arsenal,1,2010-04-14,Arsenal,34,71
34,Wigan,3,Arsenal,2,2010-04-18,Arsenal,35,71
35,Arsenal,0,Man City,0,2010-04-24,Arsenal,36,72
36,Blackburn,2,Arsenal,1,2010-05-03,Arsenal,37,72
37,Arsenal,4,Fulham,0,2010-05-09,Arsenal,38,75
38,Aston Villa,0,Wigan,2,2009-08-15,Aston Villa,1,0
39,Liverpool,1,Aston Villa,3,2009-08-24,Aston Villa,2,3
40,Aston Villa,2,Fulham,0,2009-08-30,Aston Villa,3,6
41,Birmingham,0,Aston Villa,1,2009-09-13,Aston Villa,4,9
42,Aston Villa,2,Portsmouth,0,2009-09-19,Aston Villa,5,12
43,Blackburn,2,Aston Villa,1,2009-09-26,Aston Villa,6,12
44,Aston Villa,1,Man City,1,2009-10-05,Aston Villa,7,13
45,Aston Villa,2,Chelsea,1,2009-10-17,Aston Villa,8,16
46,Wolves,1,Aston Villa,1,2009-10-24,Aston Villa,9,17
