,home_team,home_goals,away_team,away_goals,date2,team,week,points
0,Arsenal,1,West Brom,0,2008-08-16,Arsenal,1,3
1,Fulham,1,Arsenal,0,2008-08-23,Arsenal,2,3
2,Arsenal,3,Newcastle,0,2008-08-30,Arsenal,3,6
3,Blackburn,0,Arsenal,4,2008-09-13,Arsenal,4,9
4,Bolton,1,Arsenal,3,2008-09-20,Arsenal,5,12
5,Arsenal,1,Hull,2,2008-09-27,Arsenal,6,12
6,Sunderland,1,Arsenal,1,2008-10-04,Arsenal,7,13
7,Arsenal,3,Everton,1,2008-10-18,Arsenal,8,16
8,West Ham,0,Arsenal,2,2008-10-26,Arsenal,9,19
9,Arsenal,4,Spurs,4,2008-10-29,Arsenal,10,20
10,Stoke,2,Arsenal,1,2008-11-01,Arsenal,11,20
11,Arsenal,2,Man Utd,1,2008-11-08,Arsenal,12,23
12,Arsenal,0,Aston Villa,2,2008-11-15,Arsenal,13,23
13,Man City,3,Arsenal,0,2008-11-22,Arsenal,14,23
14,Chelsea,1,Arsenal,2,2008-11-30,Arsenal,15,26
15,Arsenal,1,Wigan,0,2008-12-06,Arsenal,16,29
16,Middlesbrough,1,Arsenal,1,2008-12-13,Arsenal,17,30
17,Arsenal,1,Liverpool,1,2008-12-21,Arsenal,18,31
18,Aston Villa,2,Arsenal,2,2008-12-26,Arsenal,19,32
19,Arsenal,1,Portsmouth,0,2008-12-28,Arsenal,20,35
20,Arsenal,1,Bolton,0,2009-01-10,Arsenal,21,38
21,Hull,1,Arsenal,3,2009-01-17,Arsenal,22,41
22,Everton,1,Arsenal,1,2009-01-28,Arsenal,23,42
23,Arsenal,0,West Ham,0,2009-01-31,Arsenal,24,43
24,Spurs,0,Arsenal,0,2009-02-08,Arsenal,25,44
25,Arsenal,0,Sunderland,0,2009-02-21,Arsenal,26,45
26,Arsenal,0,Fulham,0,2009-02-28,Arsenal,27,46
27,West Brom,1,Arsenal,3,2009-03-03,Arsenal,28,49
28,Arsenal,4,Blackburn,0,2009-03-14,Arsenal,29,52
