,home_team,home_goals,away_team,away_goals,date2,team,week,points
0,Arsenal,1,Aston Villa,3,2013-08-17,Arsenal,1,0
1,Fulham,1,Arsenal,3,2013-08-24,Arsenal,2,3
2,Arsenal,1,Spurs,0,2013-09-01,Arsenal,3,6
3,Sunderland,1,Arsenal,3,2013-09-14,Arsenal,4,9
4,Arsenal,3,Stoke,1,2013-09-22,Arsenal,5,12
5,Swansea,1,Arsenal,2,2013-09-28,Arsenal,6,15
6,West Brom,1,Arsenal,1,2013-10-06,Arsenal,7,16
7,Arsenal,4,Norwich,1,2013-10-19,Arsenal,8,19
8,Crystal Palace,0,Arsenal,2,2013-10-26,Arsenal,9,22
9,Arsenal,2,Liverpool,0,2013-11-02,Arsenal,10,25
10,Man Utd,1,Arsenal,0,2013-11-10,Arsenal,11,25
11,Arsenal,2,Southampton,0,2013-11-23,Arsenal,12,28
12,Cardiff,0,Arsenal,3,2013-11-30,Arsenal,13,31
13,Arsenal,2,Hull,0,2013-12-04,Arsenal,14,34
14,Arsenal,1,Everton,1,2013-12-08,Arsenal,15,35
15,Man City,6,Arsenal,3,2013-12-14,Arsenal,16,35
16,Arsenal,0,Chelsea,0,2013-12-23,Arsenal,17,36
17,West Ham,1,Arsenal,3,2013-12-26,Arsenal,18,39
18,Newcastle,0,Arsenal,1,2013-12-29,Arsenal,19,42
19,Arsenal,2,Cardiff,0,2014-01-01,Arsenal,20,45
20,Aston Villa,1,Arsenal,2,2014-01-13,Arsenal,21,48
21,Arsenal,2,Fulham,0,2014-01-18,Arsenal,22,51
22,Southampton,2,Arsenal,2,2014-01-28,Arsenal,23,52
23,Arsenal,2,Crystal Palace,0,2014-02-02,Arsenal,24,55
24,Liverpool,5,Arsenal,1,2014-02-08,Arsenal,25,55
25,Arsenal,0,Man Utd,0,2014-02-12,Arsenal,26,56
26,Arsenal,4,Sunderland,1,2014-02-22,Arsenal,27,59
27,Stoke,1,Arsenal,0,2014-03-01,Arsenal,28,59
28,Spurs,0,Arsenal,1,2014-03-16,Arsenal,29,62
29,Chelsea,6,Arsenal,0,2014-03-22,Arsenal,30,62
30,Arsenal,2,Swansea,2,2014-03-25,Arsenal,31,63
31,Arsenal,1,Man City,1,2014-03-29,Arsenal,32,64
32,Everton,3,Arsenal,0,2014-04-06,Arsenal,33,64
33,Arsenal,3,West Ham,1,2014-04-15,Arsenal,34,67
34,Hull,0,Arsenal,3,2014-04-20,Arsenal,35,70
35,Arsenal,3,Newcastle,0,2014-04-28,Arsenal,36,73
36,Arsenal,1,West Brom,0,2014-05-04,Arsenal,37,76
37,Norwich,0,Arsenal,2,2014-05-11,Arsenal,38,79
