,home_team,home_goals,away_team,away_goals,date2,team,week,points
0,Liverpool,1,Arsenal,1,2010-08-15,Arsenal,1,1
1,Arsenal,6,Blackpool,0,2010-08-21,Arsenal,2,4
2,Blackburn,1,Arsenal,2,2010-08-28,Arsenal,3,7
3,Arsenal,4,Bolton,1,2010-09-11,Arsenal,4,10
4,Sunderland,1,Arsenal,1,2010-09-18,Arsenal,5,11
5,Arsenal,2,West Brom,3,2010-09-25,Arsenal,6,11
6,Chelsea,2,Arsenal,0,2010-10-03,Arsenal,7,11
7,Arsenal,2,Birmingham,1,2010-10-16,Arsenal,8,14
8,Man City,0,Arsenal,3,2010-10-24,Arsenal,9,17
9,Arsenal,1,West Ham,0,2010-10-30,Arsenal,10,20
10,Arsenal,0,Newcastle,1,2010-11-07,Arsenal,11,20
11,Wolves,0,Arsenal,2,2010-11-10,Arsenal,12,23
12,Everton,1,Arsenal,2,2010-11-14,Arsenal,13,26
13,Arsenal,2,Spurs,3,2010-11-20,Arsenal,14,26
14,Aston Villa,2,Arsenal,4,2010-11-27,Arsenal,15,29
15,Arsenal,2,Fulham,1,2010-12-04,Arsenal,16,32
16,Man Utd,1,Arsenal,0,2010-12-13,Arsenal,17,32
17,Arsenal,3,Chelsea,1,2010-12-27,Arsenal,18,35
18,Wigan,2,Arsenal,2,2010-12-29,Arsenal,19,36
19,Birmingham,0,Arsenal,3,2011-01-01,Arsenal,20,39
20,Arsenal,0,Man City,0,2011-01-05,Arsenal,21,40
21,West Ham,0,Arsenal,3,2011-01-15,Arsenal,22,43
22,Arsenal,3,Wigan,0,2011-01-22,Arsenal,23,46
23,Arsenal,2,Everton,1,2011-02-01,Arsenal,24,49
24,Newcastle,4,Arsenal,4,2011-02-05,Arsenal,25,50
25,Arsenal,2,Wolves,0,2011-02-12,Arsenal,26,53
26,Arsenal,1,Stoke,0,2011-02-23,Arsenal,27,56
27,Arsenal,0,Sunderland,0,2011-03-05,Arsenal,28,57
28,West Brom,2,Arsenal,2,2011-03-19,Arsenal,29,58
29,Arsenal,0,Blackburn,0,2011-04-02,Arsenal,30,59
30,Blackpool,1,Arsenal,3,2011-04-10,Arsenal,31,62
31,Arsenal,1,Liverpool,1,2011-04-17,Arsenal,32,63
32,Spurs,3,Arsenal,3,2011-04-20,Arsenal,33,64
33,Bolton,2,Arsenal,1,2011-04-24,Arsenal,34,64
34,Arsenal,1,Man Utd,0,2011-05-01,Arsenal,35,67
35,Stoke,3,Arsenal,1,2011-05-08,Arsenal,36,67
36,Arsenal,1,Aston Villa,2,2011-05-15,Arsenal,37,67
37,Fulham,2,Arsenal,2,2011-05-22,Arsenal,38,68
38,Aston Villa,3,West Ham,0,2010-08-14,Aston Villa,1,3
39,Newcastle,6,Aston Villa,0,2010-08-22,Aston Villa,2,3
40,Aston Villa,1,Everton,0,2010-08-29,Aston Villa,3,6
41,Stoke,2,Aston Villa,1,2010-09-13,Aston Villa,4,6
42,Aston Villa,1,Bolton,1,2010-09-18,Aston Villa,5,7
43,Wolves,1,Aston Villa,2,2010-09-26,Aston Villa,6,10
44,Spurs,2,Aston Villa,1,2010-10-02,Aston Villa,7,10
45,Aston Villa,0,Chelsea,0,2010-10-16,Aston Villa,8,11
46,Sunderland,1,Aston Villa,0,2010-10-23,Aston Villa,9,11
47,Aston Villa,0,Birmingham,0,2010-10-31,Aston Villa,10,12
48,Fulham,1,Aston Villa,1,2010-11-06,Aston Villa,11,13
49,Aston Villa,3,Blackpool,2,2010-11-10,Aston Villa,12,16
50,Aston Villa,2,Man Utd,2,2010-11-13,Aston Villa,13,17
51,Blackburn,2,Aston Villa,0,2010-11-21,Aston Villa,14,17
52,Aston Villa,2,Arsenal,4,2010-11-27,Aston Villa,15,17
53,Liverpool,3,Aston Villa,0,2010-12-06,Aston Villa,16,17
54,Aston Villa,2,West Brom,1,2010-12-11,Aston Villa,17,20
55,Aston Villa,1,Spurs,2,2010-12-26,Aston Villa,18,20
56,Man City,4,Aston Villa,0,2010-12-28,Aston Villa,19,20
57,Chelsea,3,Aston Villa,3,2011-01-02,Aston Villa,20,21
