,home_team,home_goals,away_team,away_goals,date2,team,week,points
0,Arsenal,0,Sunderland,0,2012-08-18,Arsenal,1,1
1,Stoke,0,Arsenal,0,2012-08-26,Arsenal,2,2
2,Liverpool,0,Arsenal,2,2012-09-02,Arsenal,3,5
3,Arsenal,6,Southampton,1,2012-09-15,Arsenal,4,8
4,Man City,1,Arsenal,1,2012-09-23,Arsenal,5,9
5,Arsenal,1,Chelsea,2,2012-09-29,Arsenal,6,9
6,West Ham,1,Arsenal,3,2012-10-06,Arsenal,7,12
7,Norwich,1,Arsenal,0,2012-10-20,Arsenal,8,12
8,Arsenal,1,QPR,0,2012-10-27,Arsenal,9,15
9,Man Utd,2,Arsenal,1,2012-11-03,Arsenal,10,15
10,Arsenal,3,Fulham,3,2012-11-10,Arsenal,11,16
11,Arsenal,5,Spurs,2,2012-11-17,Arsenal,12,19
12,Aston Villa,0,Arsenal,0,2012-11-24,Arsenal,13,20
13,Everton,1,Arsenal,1,2012-11-28,Arsenal,14,21
14,Arsenal,0,Swansea,2,2012-12-01,Arsenal,15,21
15,Arsenal,2,West Brom,0,2012-12-08,Arsenal,16,24
16,Reading,2,Arsenal,5,2012-12-17,Arsenal,17,27
17,Wigan,0,Arsenal,1,2012-12-22,Arsenal,18,30
18,Arsenal,7,Newcastle,3,2012-12-29,Arsenal,19,33
19,Southampton,1,Arsenal,1,2013-01-01,Arsenal,20,34
20,Arsenal,0,Man City,2,2013-01-13,Arsenal,21,34
21,Chelsea,2,Arsenal,1,2013-01-20,Arsenal,22,34
22,Arsenal,5,West Ham,1,2013-01-23,Arsenal,23,37
23,Arsenal,2,Liverpool,2,2013-01-30,Arsenal,24,38
24,Arsenal,1,Stoke,0,2013-02-02,Arsenal,25,41
25,Sunderland,0,Arsenal,1,2013-02-09,Arsenal,26,44
26,Arsenal,2,Aston Villa,1,2013-02-23,Arsenal,27,47
27,Spurs,2,Arsenal,1,2013-03-03,Arsenal,28,47
28,Swansea,0,Arsenal,2,2013-03-16,Arsenal,29,50
29,Arsenal,4,Reading,1,2013-03-30,Arsenal,30,53
30,West Brom,1,Arsenal,2,2013-04-06,Arsenal,31,56
31,Arsenal,3,Norwich,1,2013-04-13,Arsenal,32,59
32,Arsenal,0,Everton,0,2013-04-16,Arsenal,33,60
33,Fulham,0,Arsenal,1,2013-04-20,Arsenal,34,63
34,Arsenal,1,Man Utd,1,2013-04-28,Arsenal,35,64
35,QPR,0,Arsenal,1,2013-05-04,Arsenal,36,67
36,Arsenal,4,Wigan,1,2013-05-14,Arsenal,37,70
37,Newcastle,0,Arsenal,1,2013-05-19,Arsenal,38,73
38,West Ham,1,Aston Villa,0,2012-08-18,Aston Villa,1,0
39,Aston Villa,1,Everton,3,2012-08-25,Aston Villa,2,0
40,Newcastle,1,Aston Villa,1,2012-09-02,Aston Villa,3,1
41,Aston Villa,2,Swansea,0,2012-09-15,Aston Villa,4,4
42,Southampton,4,Aston Villa,1,2012-09-22,Aston Villa,5,4
43,Aston Villa,1,West Brom,1,2012-09-30,Aston Villa,6,5
44,Spurs,2,Aston Villa,0,2012-10-07,Aston Villa,7,5
45,Fulham,1,Aston Villa,0,2012-10-20,Aston Villa,8,5
46,Aston Villa,1,Norwich,1,2012-10-27,Aston Villa,9,6
47,Sunderland,0,Aston Villa,1,2012-11-03,Aston Villa,10,9
48,Aston Villa,2,Man Utd,3,2012-11-10,Aston Villa,11,9
49,Man City,5,Aston Villa,0,2012-11-17,Aston Villa,12,9
50,Aston Villa,0,Arsenal,0,2012-11-24,Aston Villa,13,10
51,Aston Villa,1,Reading,0,2012-11-27,Aston Villa,14,13
52,QPR,1,Aston Villa,1,2012-12-01,Aston Villa,15,14
53,Aston Villa,0,Stoke,0,2012-12-08,Aston Villa,16,15
54,Liverpool,1,Aston Villa,3,2012-12-15,Aston Villa,17,18
55,Chelsea,8,Aston Villa,0,2012-12-23,Aston Villa,18,18
56,Aston Villa,0,Spurs,4,2012-12-26,Aston Villa,19,18
57,Aston Villa,0,Wigan,3,2012-12-29,Aston Villa,20,18
58,Swansea,2,Aston Villa,2,2013-01-01,Aston Villa,21,19
59,Aston Villa,0,Southampton,1,2013-01-12,Aston Villa,22,19
60,West Brom,2,Aston Villa,2,2013-01-19,Aston Villa,23,20
61,Aston Villa,1,Newcastle,2,2013-01-29,Aston Villa,24,20
62,Everton,3,Aston Villa,3,2013-02-02,Aston Villa,25,21
63,Aston Villa,2,West Ham,1,2013-02-10,Aston Villa,26,24
64,Arsenal,2,Aston Villa,1,2013-02-23,Aston Villa,27,24
65,Aston Villa,0,Man City,1,2013-03-04,Aston Villa,28,24
66,Reading,1,Aston Villa,2,2013-03-09,Aston Villa,29,27
67,Aston Villa,3,QPR,2,2013-03-16,Aston Villa,30,30
68,Aston Villa,1,Liverpool,2,2013-03-31,Aston Villa,31,30
69,Stoke,1,Aston Villa,3,2013-04-06,Aston Villa,32,33
70,Aston Villa,1,Fulham,1,2013-04-13,Aston Villa,33,34
71,Man Utd,3,Aston Villa,0,2013-04-22,Aston Villa,34,34
72,Aston Villa,6,Sunderland,1,2013-04-29,Aston Villa,35,37
73,Norwich,1,Aston Villa,2,2013-05-04,Aston Villa,36,40
74,Aston Villa,1,Chelsea,2,2013-05-11,Aston Villa,37,40
75,Wigan,2,Aston Villa,2,2013-05-19,Aston Villa,38,41
76,Wigan,0,Chelsea,2,2012-08-19,Chelsea,1,3
77,Chelsea,4,Reading,2,2012-08-22,Chelsea,2,6
78,Chelsea,2,Newcastle,0,2012-08-25,Chelsea,3,9
79,QPR,0,Chelsea,0,2012-09-15,Chelsea,4,10
80,Chelsea,1,Stoke,0,2012-09-22,Chelsea,5,13
81,Arsenal,1,Chelsea,2,2012-09-29,Chelsea,6,16
82,Chelsea,4,Norwich,1,2012-10-06,Chelsea,7,19
83,Spurs,2,Chelsea,4,2012-10-20,Chelsea,8,22
84,Chelsea,2,Man Utd,3,2012-10-28,Chelsea,9,22
85,Swansea,1,Chelsea,1,2012-11-03,Chelsea,10,23
