,home_team,home_goals,away_team,away_goals,date2,team,week,points
0,Arsenal,0,West Ham,2,2015-08-09,Arsenal,1,0
1,Crystal Palace,1,Arsenal,2,2015-08-16,Arsenal,2,3
2,Arsenal,0,Liverpool,0,2015-08-24,Arsenal,3,4
3,Newcastle,0,Arsenal,1,2015-08-29,Arsenal,4,7
4,Arsenal,2,Stoke,0,2015-09-12,Arsenal,5,10
5,Chelsea,2,Arsenal,0,2015-09-19,Arsenal,6,10
6,Leicester,2,Arsenal,5,2015-09-26,Arsenal,7,13
7,Arsenal,3,Man Utd,0,2015-10-04,Arsenal,8,16
8,Watford,0,Arsenal,3,2015-10-17,Arsenal,9,19
9,Arsenal,2,Everton,1,2015-10-24,Arsenal,10,22
10,Swansea,0,Arsenal,3,2015-10-31,Arsenal,11,25
11,Arsenal,1,Spurs,1,2015-11-08,Arsenal,12,26
12,West Brom,2,Arsenal,1,2015-11-21,Arsenal,13,26
13,Norwich,1,Arsenal,1,2015-11-29,Arsenal,14,27
14,Arsenal,3,Sunderland,1,2015-12-05,Arsenal,15,30
15,Aston Villa,0,Arsenal,2,2015-12-13,Arsenal,16,33
16,Arsenal,2,Man City,1,2015-12-21,Arsenal,17,36
17,Southampton,4,Arsenal,0,2015-12-26,Arsenal,18,36
18,Arsenal,2,Bournemouth,0,2015-12-28,Arsenal,19,39
19,Arsenal,1,Newcastle,0,2016-01-02,Arsenal,20,42
20,Liverpool,3,Arsenal,3,2016-01-13,Arsenal,21,43
21,Stoke,0,Arsenal,0,2016-01-17,Arsenal,22,44
22,Arsenal,0,Chelsea,1,2016-01-24,Arsenal,23,44
23,Arsenal,0,Southampton,0,2016-02-02,Arsenal,24,45
24,Bournemouth,0,Arsenal,2,2016-02-07,Arsenal,25,48
25,Arsenal,2,Leicester,1,2016-02-14,Arsenal,26,51
26,Man Utd,3,Arsenal,2,2016-02-28,Arsenal,27,51
27,Arsenal,1,Swansea,2,2016-03-02,Arsenal,28,51
28,Spurs,2,Arsenal,2,2016-03-05,Arsenal,29,52
29,Everton,0,Arsenal,2,2016-03-19,Arsenal,30,55
30,Bournemouth,0,Aston Villa,1,2015-08-08,Aston Villa,31,3
31,Aston Villa,0,Man Utd,1,2015-08-14,Aston Villa,32,3
32,Crystal Palace,2,Aston Villa,1,2015-08-22,Aston Villa,33,3
33,Aston Villa,2,Sunderland,2,2015-08-29,Aston Villa,34,4
34,Leicester,3,Aston Villa,2,2015-09-13,Aston Villa,35,4
35,Aston Villa,0,West Brom,1,2015-09-19,Aston Villa,36,4
36,Liverpool,3,Aston Villa,2,2015-09-26,Aston Villa,37,4
